,source,target,delta_time,line_name
27,Radio i Telewizja,Przyjaźni,2.0,17
28,Przyjaźni,Braterska,1.0,17
29,Braterska,Sąsiedzka,1.0,17
30,Sąsiedzka,KLECINA,1.0,17
1,BISKUPIN,Spółdzielcza,1.0,10
2,Spółdzielcza,Piramowicza,1.0,10
3,Piramowicza,Chełmońskiego,1.0,10
4,Chełmońskiego,Tramwajowa,1.0,10
5,Tramwajowa,ZOO,2.0,10
6,ZOO,Hala Stulecia,1.0,10
7,Hala Stulecia,Kliniki - Politechnika Wrocławska,2.0,10
8,Kliniki - Politechnika Wrocławska,PL. GRUNWALDZKI,2.0,10
9,PL. GRUNWALDZKI,Reja,1.0,10
10,Reja,Katedra,2.0,10
11,Katedra,Urząd Wojewódzki (Muzeum Narodowe),2.0,10
12,Urząd Wojewódzki (Muzeum Narodowe),GALERIA DOMINIKAŃSKA,4.0,10
13,GALERIA DOMINIKAŃSKA,Świdnicka,2.0,10
14,Świdnicka,Zamkowa,1.0,10
15,Zamkowa,Rynek,2.0,10
16,Rynek,PL. JANA PAWŁA II,3.0,10
17,PL. JANA PAWŁA II,Młodych Techników,2.0,10
18,Młodych Techników,pl. Strzegomski (Muzeum Współczesne),1.0,10
19,pl. Strzegomski (Muzeum Współczesne),ZACHODNIA (Stacja kolejowa),2.0,10
20,ZACHODNIA (Stacja kolejowa),Niedźwiedzia,2.0,10
21,Niedźwiedzia,Małopanewska,1.0,10
22,Małopanewska,Kwiska,2.0,10
23,Kwiska,DH Astra,2.0,10
24,DH Astra,Park Zachodni,1.0,10
25,Park Zachodni,Bajana,1.0,10
26,Bajana,Metalowców,2.0,10
27,Metalowców,PILCZYCE,1.0,10
28,PILCZYCE,Tarczyński Arena (Lotnicza),2.0,10
29,Tarczyński Arena (Lotnicza),Glinianki,1.0,10
30,Glinianki,Aleja Architektów,1.0,10
31,Aleja Architektów,Grabowa,1.0,10
32,Grabowa,Kosmonautów (Szpital),2.0,10
33,Kosmonautów (Szpital),Kamiennogórska (Ośrodek dla niewidomych),1.0,10
